## Master file format version 2.0           2022.11.01 CAD&CCT

                         2023 MULTI-AGENCY INTENSIVES SCHEDULE

                     Last Updated - March 02, 2023 - CCT

   SESSION      DATE     SESSION    DOY TIME   DUR       STATIONS                             SKED CORR  STATUS  DBC  SUBM DEL 
     TYPE     yyyymmdd     CODE     ddd hh:mm  h:mm                                                     yyyymmdd CODE      days 
--------------------------------------------------------------------------------------------------------------------------------
|IVS-INT-S   |20230220|z23051      | 51|06:30| 1:00|HbHt                                     |DACH|UTAS|        | MH |VIEN|   0|
|IVS-INT-3   |20230220|q23051      | 51|07:00| 1:00|IsNsWz -Ny                               |DACH|GSI |        | XK |NASA|   0|
|IVS-INT-1   |20230220|i23051      | 51|18:30| 1:00|Wz -Mk                                   |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-Y  |20230221|y23052      | 52|14:00| 1:00|GsSaYj                                   |DACH|YEBS|        | VH |NASA|   0|
|IVS-INT-1   |20230221|i23052      | 52|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230221|v23052      | 52|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-1   |20230222|i23053      | 53|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230222|v23053      | 53|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-1   |20230223|i23054      | 54|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230223|v23054      | 54|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-00  |20230223|ii3054      | 54|23:30| 1:00|KkWz                                     |NASA|WASH|        | XZ |NASA|   0|
|IVS-INT-1   |20230224|i23055      | 55|18:45| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230224|v23055      | 55|18:45| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
