## Master file format version 2.0           2022.11.01 CAD&CCT

                         2023 MULTI-AGENCY SCHEDULE

                     Last Updated - March 02, 2023 - CCT

   SESSION      DATE     SESSION    DOY TIME   DUR                         STATIONS                        SKED CORR  STATUS  DBC  SUBM DEL
     TYPE     yyyymmdd     CODE     ddd hh:mm  h:mm                                                                  yyyymmdd CODE      days
--------------------------------------------------------------------------------------------------------------------------------------------
|IVS-R4      |20230427|r41100      |117|18:30|24:00|BdFtKeKkNsNyWwWzZc                                    |USNO|WASH|        | XE |USNO| -57|
--------------------------------------------------------------------------------------------------------------------------------------------
|IVS-R1      |20230502|r11101      |122|17:00|24:00|FtHbHtKeKvMaNsNtNyOnWz                                |NASA|BONN|        | XA |NASA| -62|
|VGOS-OPS    |20230504|vo3124      |124|18:00|24:00|GsIsK2KeMgNnOeOwWfWsYj                                |NASA|WASH|        | VG |NASA| -64|
|IVS-R4      |20230504|r41101      |124|18:30|24:00|FtHbHtKkMcNsNyWwWz                                    |USNO|WASH|        | XE |USNO| -64|
|IVS-R1      |20230508|r11102      |128|17:00|24:00|AgFtHbHtKeKvMaMcNsNyWz                                |NASA|BONN|        | XA |NASA| -68|
|IVS-CRF-DS  |20230509|crd124      |129|17:30|24:00|AgHhHoOhWw                                            |DACH|WASH|        | XN |USNO| -69|
|IVS-RD      |20230510|rd2304      |130|18:00|24:00|FtHhKkMcNsNyOnWz                                      |OSO |SHAO|        | XA |NASA| -70|
|VGOS-OPS    |20230510|vo3130      |130|18:00|24:00|GsHbIsK2KeMgNnOeOwWfWsYj                              |NASA|BONN|        | VG |NASA| -70|
|IVS-R4      |20230511|r41102      |131|18:30|24:00|FtHbHtKeKkMcNsNyWwWz                                  |USNO|WASH|        | XE |USNO| -71|
|IVS-R1      |20230515|r11103      |135|17:00|24:00|AgBdFtHbHtKeKkKvNsNySvWzZc                            |NASA|BONN|        | XA |NASA| -75|
|AUS-AST     |20230516|aua100      |136|17:30|24:00|HbHoHtKeWw                                            |DACH|UTAS|        | XA |NASA| -76|
|AOV         |20230517|aov083      |137|18:00|24:00|HbIsKeKgKvShUrVmWw                                    |GSI |GSI |        | XA |NASA| -77|
|VGOS-OPS    |20230518|vo3138      |138|18:00|24:00|GsHbIsK2MgNnWfYj                                      |NASA|VIEN|        | VG |NASA| -78|
|IVS-R4      |20230518|r41103      |138|18:30|24:00|FtHtKeKkSvUrWwZc                                      |USNO|WASH|        | XE |USNO| -78|
|IVS-R1      |20230522|r11104      |142|17:00|24:00|AgFtHbHtKeKvMcNsNtNyOn                                |NASA|BONN|        | XA |NASA| -82|
|IVS-RDV     |20230523|rv159       |143|17:30|24:00|HhHoNsNyOnShVaWz                                      |USNO|VLBA|        | XA |USNO| -83|
|IVS-OHIG    |20230524|ohg143      |144|18:00|24:00|FtHtKkOhSyWw                                          |DACH|BONN|        | XA |BKG | -84|
|VGOS-RD     |20230524|vr2302      |144|18:00|24:00|GsHbIsK2KeMgNnOeOwWfWsYj                              |DACH|HAYS|        | VG |NASA| -84|
|IVS-R4      |20230525|r41104      |145|18:30|24:00|FtHbHtKeKkMaNsNyWwWz                                  |USNO|WASH|        | XE |USNO| -85|
|IVS-R1      |20230530|r11105      |150|17:00|24:00|AgFtHbHtKeKkKvMaNsNyWz                                |NASA|BONN|        | XA |NASA| -90|
|VGOS-OPS    |20230531|vo3151      |151|18:00|24:00|GsIsK2KeMgNnOeOwWfWsYj                                |NASA|WETZ|        | VG |NASA| -91|
|IVS-R4      |20230531|r41105      |151|18:30|24:00|FtHbHtKkMaNsNyWwWz                                    |USNO|WASH|        | XE |USNO| -91|
--------------------------------------------------------------------------------------------------------------------------------------------
|IVS-R1      |20230605|r11106      |156|17:00|24:00|AgFtHbHtKeKkMaNsNyWz                                  |NASA|BONN|        | XA |NASA| -96|
|AUS-AST     |20230606|aua101      |157|17:30|24:00|HbHoHtKeWw                                            |DACH|UTAS|        | XA |NASA| -97|
|VGOS-OPS    |20230608|vo3159      |159|18:00|24:00|GsHbIsK2MgNnOeOwWfYj                                  |NASA|WASH|        | VG |NASA| -99|
|IVS-R4      |20230608|r41106      |159|18:30|24:00|HtKeKkMaNsNyWw                                        |USNO|WASH|        | XE |USNO| -99|
|AOV         |20230610|aov084      |161|13:00|24:00|HbIsKeKvShUrVmWw                                      |UTAS|UTAS|        | XA |NASA|-101|
|IVS-R1      |20230612|r11107      |163|17:00|24:00|AgFtHbHtKeKkKvMaNsNyWz                                |NASA|BONN|        | XA |NASA|-103|
|VGOS-24INT-S|20230612|s22410      |163|17:00|24:00|MgWs                                                  |DACH|WETZ|        | VJ |NASA|-103|
|VGOS-OPS    |20230614|vo3165      |165|18:00|24:00|GsIsKeMgNnOeOwWfWsYj                                  |NASA|BONN|        | VG |NASA|-105|
|IVS-R4      |20230614|r41107      |165|18:30|24:00|FtHbHtKkMaNsNyWwWz                                    |USNO|WASH|        | XE |USNO|-105|
|IVS-R1      |20230619|r11108      |170|17:00|24:00|FtHbHtKeKkKvMaNsNyOnWz                                |NASA|BONN|        | XA |NASA|-110|
|IVS-T2      |20230620|t2161       |171|17:30|24:00|263656FtHtKgKvNsNyOhOnSmWz                            |DACH|BONN|        | XH |BKG |-111|
|IVS-RD      |20230621|rd2305      |172|18:00|24:00|FtHhKkMaNsNyOnWz                                      |OSO |WASH|        | XA |NASA|-112|
|VGOS-OPS    |20230621|vo3172      |172|18:00|24:00|GsHbIsK2KeMgNnOeOwWfWsYj                              |NASA|HAYS|        | VG |NASA|-112|
|IVS-R4      |20230622|r41108      |173|18:30|24:00|BdFtHbHtKeKkNsNyWzZc                                  |USNO|WASH|        | XE |USNO|-113|
|IVS-R1      |20230626|r11109      |177|17:00|24:00|BdHbHtKeKvNsNySvZc                                    |NASA|BONN|        | XA |NASA|-117|
|VGOS-OPS    |20230629|vo3180      |180|18:00|24:00|GsHbIsK2MgOeOwWfWsYj                                  |NASA|WETZ|        | VG |NASA|-120|
|IVS-R4      |20230629|r41109      |180|18:30|24:00|HtKeKkNsNySvUrWzZc                                    |USNO|WASH|        | XE |USNO|-120|
--------------------------------------------------------------------------------------------------------------------------------------------
|IVS-R1      |20230703|r11110      |184|17:00|24:00|AgFtHbHtKeKvMaNnNtOnWz                                |NASA|BONN|        | XA |NASA|-124|
|IVS-RDV     |20230704|rv160       |185|17:30|24:00|HhHoOnShVaWz                                          |USNO|VLBA|        | XA |USNO|-125|
